LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,datetime,Concentration_SO2,Concentration_O3,Concentration_NO2,Concentration_CO,AQI_PM10,AQI_SO2,AQI_O3,AQI_NO2,AQI_CO,AQI_AQIIndex,AQI_ContaminantParameter,AQI_State,AQI_Color,Concentration,ay,gun,date,year,month,day,hour,dayofweek,weekday_name,is_weekend,season,date_str,is_special_day,special_day_name,holiday_type,day_category,AQI_Category,traffic_density,rush_hour,speed_category,vehicle_category,vehicles_lag1,speed_lag1,no2_lag1,vehicles_lag2,speed_lag2,no2_lag2,vehicles_lag3,speed_lag3,no2_lag3
40.9927368164063,29.0753173828125,sxk9jw,5,135,55,227,2024-01-01 00:00:00,,,64.7,3093.7,123.0,,,32.0,15.0,123.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,0,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,4.053571428571429,Diğer Saatler,Orta,Orta,,,,,,,,,
40.9927368164063,29.0753173828125,sxk9jw,3,130,61,206,2024-01-01 01:00:00,,,66.1,2599.0,125.0,,,32.0,18.0,125.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,1,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,3.3225806451612905,Diğer Saatler,Orta,Az,227.0,55.0,64.7,,,,,,
40.9927368164063,29.0753173828125,sxk9jw,6,143,64,160,2024-01-01 02:00:00,,,67.9,3133.5,127.0,,,33.0,21.0,127.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,2,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,2.4615384615384617,Diğer Saatler,Orta,Az,206.0,61.0,66.1,227.0,55.0,64.7,,,
40.9927368164063,29.0753173828125,sxk9jw,5,147,67,128,2024-01-01 03:00:00,,,80.1,3240.7,132.0,,,39.0,23.0,132.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,3,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,1.8823529411764706,Diğer Saatler,Orta,Az,160.0,64.0,67.9,206.0,61.0,66.1,227.0,55.0,64.7
40.9927368164063,29.0753173828125,sxk9jw,13,153,73,117,2024-01-01 04:00:00,,,63.7,1072.8,139.0,,,31.0,23.0,139.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,4,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,1.5810810810810811,Diğer Saatler,Hızlı,Az,128.0,67.0,80.1,160.0,64.0,67.9,206.0,61.0,66.1
40.9927368164063,29.0753173828125,sxk9jw,7,149,71,147,2024-01-01 05:00:00,,,46.2,450.2,141.0,,,23.0,22.0,141.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,5,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,2.0416666666666665,Diğer Saatler,Hızlı,Az,117.0,73.0,63.7,128.0,67.0,80.1,160.0,64.0,67.9
40.9927368164063,29.0753173828125,sxk9jw,6,146,68,141,2024-01-01 06:00:00,,,43.4,259.8,142.0,,,21.0,20.0,142.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,6,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,2.0434782608695654,Diğer Saatler,Orta,Az,147.0,71.0,46.2,117.0,73.0,63.7,128.0,67.0,80.1
40.9927368164063,29.0753173828125,sxk9jw,5,154,65,133,2024-01-01 07:00:00,,,42.9,290.5,141.0,,,21.0,17.0,141.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,7,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,2.015151515151515,Sabah Rush (7-9),Orta,Az,141.0,68.0,43.4,147.0,71.0,46.2,117.0,73.0,63.7
40.9927368164063,29.0753173828125,sxk9jw,2,157,63,111,2024-01-01 08:00:00,,,54.8,637.1,140.0,,,27.0,14.0,140.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,8,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,1.734375,Sabah Rush (7-9),Orta,Az,133.0,65.0,42.9,141.0,68.0,43.4,147.0,71.0,46.2
40.9927368164063,29.0753173828125,sxk9jw,6,134,64,98,2024-01-01 09:00:00,,,49.9,471.7,140.0,,,24.0,12.0,140.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,9,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,1.5076923076923077,Sabah Rush (7-9),Orta,Az,111.0,63.0,54.8,133.0,65.0,42.9,141.0,68.0,43.4
40.9927368164063,29.0753173828125,sxk9jw,4,133,64,143,2024-01-01 10:00:00,,,45.4,289.3,139.0,,,22.0,8.0,139.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,10,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,2.2,Diğer Saatler,Orta,Az,98.0,64.0,49.9,111.0,63.0,54.8,133.0,65.0,42.9
40.9927368164063,29.0753173828125,sxk9jw,8,138,66,197,2024-01-01 11:00:00,,,42.2,343.2,136.0,,,21.0,5.0,136.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,11,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,2.9402985074626864,Diğer Saatler,Orta,Az,143.0,64.0,45.4,98.0,64.0,49.9,111.0,63.0,54.8
40.9927368164063,29.0753173828125,sxk9jw,6,133,64,139,2024-01-01 12:00:00,,,41.4,712.9,134.0,,,20.0,4.0,134.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,12,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,2.1384615384615384,Diğer Saatler,Orta,Az,197.0,66.0,42.2,143.0,64.0,45.4,98.0,64.0,49.9
40.9927368164063,29.0753173828125,sxk9jw,4,112,51,200,2024-01-01 13:00:00,,,26.2,523.3,130.0,,,13.0,4.0,130.0,PM10,Hassas gruplar için sağlık etkileri oluşabilir. Genel olarak kamunun etkilenmesi olası değildir.,#EC7C1E,,1,1,2024-01-01,2024,1,1,13,0,Monday,0,Kış,2024-01-01,1,Yılbaşı,Özel Gün,Özel Gün,Hassas İçin Kötü,3.8461538461538463,Diğer Saatler,Orta,Az,139.0,64.0,41.4,197.0,66.0,42.2,143.0,64.0,45.4
